seed,input,predicted_label,predicted_explanation
1331,Where would a cat be digging for a mouse?,compost pile,a cat digs for a mouse in a compost pile.
1331,"The art project called for a big wooden rod, so she went where to get one?",hardware store,she needed a big wooden rod to make her art.
4182,"The spring was warming up, what did this cause life to do?",spring forth,
51,Why would one try to avoid work?,malaise,malaise is a disease that causes one to avoid work.
1319,All the power tools like the drill used for fixing cars made for a very loud workplace where?,repair shop,the power tools are used for fixing cars.
1111,What could a real estate agent do if his or her customer wants to get a house?,offer price,real estate agent can offer house to customers if they want to get a house.
8384,What is another term for instituting civil action?,protests,protests are actions of people who are not in agreement with one another. protests are actions of people who are not in agreement with one another.
6924,If you know how to read and write you are what?,literate,literate means literate. literate means literate.
1349,Noise takes the form of static in a radio what?,transmission,transmission is the transmission of sound. static noise is the form of static in a radio transmission.
9991,Where is the closest place you would find a potato?,kitchen cupboard,kitchen cupboard is the closest place to find a potato.
2689,You'd add pepper and salt to what liquid meal if it's bland?,soup,soup is a liquid meal.
4182,John cut his feet on broken glass while walking.  Where might have he been walking?,beach,beach is a place where people walk.
7004,"He wanted a raise, but what did the stingy boss do with that request?",push down,he was a good worker. he was a good worker.
1349,What medium do people get their beer from ?,bottle,beer is a medium that people get their beer from.
741,Where is known for powerful storms from the ocean?,tropics,tropics is known for powerful storms from the ocean.
2638,Where would you store a stack of paper when not immediately needed?,cabinet,cabinet is a place where you store paper. cabinet is where you store paper.
4823,"A lawyer is taking care of proposals, what are they trying to do?",getting work done,a lawyer is taking care of proposals. a lawyer is taking care of proposals. a lawyer is taking care of proposals.
1319,Where does someone not happy to take their car?,repair shop,repair shop is a place where someone can take their car to repair shop.
4864,If you wait until the last minute when buying christmas presents what are you likely to experience?,stress,stress is a negative emotion.
1335,"Wrestling is a contest where two people try to pin each other to the ground.  If you are about to be pinned, what should you try to do?",get free,wrestling is a sport where two people try to pin each other to the ground.
9428,"A person takes a seat to watch a movie, where is he?",in cinema,in cinema a person sits in a seat in a cinema.
7056,"Humans are said to have this thing, but dogs are thought not to have it, What is it?",no consciousness,dogs are thought not to have it
7356,Seeing a shark near Tahiti means you're where?,south pacific,sharks are a species of animals that live in the sea.
4273,Where would a ficus plant brighten up a room?,apartment,ficus plants brighten up a room.
2348,The woman decided to take a penny from the pot.   Before  her a man decided to do what?,give,
4823,What kind of food makes someone sick?,unhealthy,unhealthy food is unhealthy.
7356,What vessels in Alaska are looking for crab?,fishing boat,fishing boat is a vessel that is looking for crab in alaska.
1936,What does your body do when walking?,move,your body does movement when walking. a walking is a movement.
1111,A builder looking for wood to build a new home is likely to visit what location?,lumberyard,lumberyard is the place where wood is harvested.
2147,Where would you put a ficus if you do not want it to damage your floor?,container,container is a container. ficus is a tree that is used to make a floor.
