,task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized,rank
0,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.85714285714286,33.21990472106707,4
1,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,56.81493506493506,46.19811603078595,4
2,esnli,t5-base,standard,16,77.92558462148236,64.90401763807107,4
3,esnli,t5-large,standard,16,50.20233965857308,41.9221876865989,4
4,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.5738295318127251,0.481199117983375,4
5,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.2095238095238095,0.174297935622079,4
6,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,17.07619047619048,14.306273426328383,4
7,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,48.58739026336792,40.74126830123847,4
8,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.88095238095238,33.23802105443818,8
9,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,57.1,46.42931511146682,8
10,esnli,t5-base,standard,16,77.96455938697318,64.93526829128292,8
11,esnli,t5-large,standard,16,50.18199233716475,41.857450151409225,8
12,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.6047619047619047,0.5073729903925033,8
13,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.1952380952380952,0.1622455233619326,8
14,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,20.004761904761903,16.75822758589472,8
15,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,48.67619047619048,40.82954550300326,8
16,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.895558223289314,33.251078268917816,16
17,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,57.46388443017657,46.72496987757293,16
18,esnli,t5-base,standard,16,77.92145593869732,64.89882102557297,16
19,esnli,t5-large,standard,16,57.91787841019249,48.2360430787168,16
20,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.6238095238095238,0.5240988552570343,16
21,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.1952380952380952,0.1622149246079581,16
22,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,19.93809523809524,16.70145526301293,16
23,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,48.457142857142856,40.59436664212318,16
24,ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.86190476190476,33.22414317443257,32
25,ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,57.53290529695024,46.78069557940788,32
26,esnli,t5-base,standard,16,77.91187739463602,64.89151378187184,32
27,esnli,t5-large,standard,16,71.19122257053291,59.28735387144667,32
28,sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.6146458583433373,0.5160431464036115,32
29,sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.2,0.1661902646223704,32
30,sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,19.65714285714285,16.467377154883884,32
31,sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,48.22380952380952,40.386339829649245,32
